order_id,customer_id,customer_unique_id,customer_state,order_purchase_timestamp,order_delivered_customer_date,payment_value,order_status
e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,7c396fd4830fd04220f754e42b4e5bff,SP,2017-10-02 10:56:33,2017-10-10 21:25:13,38.71,delivered
53cdb2fc8bc7dce0b6741e2150273451,b0830fb4747a6c6d20dea0b8c802d7ef,af07308b275d755c9edb36a90c618231,BA,2018-07-24 20:41:37,2018-08-07 15:27:45,141.46,delivered
47770eb9100c2d0c44946d9cf07ec65d,41ce2a54c0b03bf3443c3d931a367089,3a653a41f6f9fc3d2a113cf8398680e8,GO,2018-08-08 08:38:49,2018-08-17 18:06:29,179.12,delivered
949d5b44dbf5de918fe9c16f97b45f8a,f88197465ea7920adcdbec7375364d82,7c142cf63193a1473d2e66489a9ae977,RN,2017-11-18 19:28:06,2017-12-02 00:28:42,72.2,delivered
ad21c59c0840e6cb83a9ceb5573f8159,8ab97904e6daea8866dbdbc4fb7aad2c,72632f0f9dd73dfee390c9b22eb56dd6,SP,2018-02-13 21:18:39,2018-02-16 18:17:02,28.62,delivered
a4591c265e18cb1dcee52889e2d8acc3,503740e9ca751ccdda7ba28e9ab8f608,80bb27c7c16e8f973207a5086ab329e2,PR,2017-07-09 21:57:05,2017-07-26 10:57:55,175.26,delivered
136cce7faa42fdb2cefd53fdc79a6098,ed0271e0b7da060a393796590e7b737a,36edbb3fb164b1f16485364b6fb04c73,RS,2017-04-11 12:22:08,,65.95,invoiced
6514b8ad8028c9f2cc2374ded245783f,9bdf08b4b3b52b5526ff42d37d47f222,932afa1e708222e5821dac9cd5db4cae,RJ,2017-05-16 13:10:30,2017-05-26 12:55:51,75.16,delivered
76c6e866289321a7c93b82b54852dc33,f54a9f0e6b351c431402b8461ea51999,39382392765b6dc74812866ee5ee92a7,RS,2017-01-23 18:29:09,2017-02-02 14:08:10,35.95,delivered
e69bfb5eb88e0ed6a785585b27e16dbf,31ad1d1b63eb9962463f764d4e6e0c9d,299905e3934e9e181bfb2e164dd4b4f8,SP,2017-07-29 11:55:02,2017-08-16 17:14:30,169.76,delivered
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,f2a85dec752b8517b5e58a06ff3cd937,RJ,2017-05-16 19:41:10,2017-05-29 11:18:31,259.06,delivered
34513ce0c4fab462a55830c0989c7edb,7711cf624183d843aafe81855097bc37,782987b81c92239d922aa49d6bd4200b,SP,2017-07-13 19:58:11,2017-07-19 14:04:48,114.13,delivered
82566a660a982b15fb86e904c8d32918,d3e3b74c766bc6214e0c830b17ee2341,e97109680b052ee858d93a539597bba7,MG,2018-06-07 10:06:19,2018-06-19 12:05:52,50.13,delivered
5ff96c15d0b717ac6ad1f3d77225a350,19402a48fe860416adf93348aba37740,e2dfa3127fedbbca9707b36304996dab,SP,2018-07-25 17:44:10,2018-07-30 15:52:25,32.7,delivered
432aaf21d85167c2c86ec9448c4e42cc,3df704f53d3f1d4818840b34ec672a9f,04cf8185c71090d28baa4407b2e6d600,SP,2018-03-01 14:14:28,2018-03-12 23:36:26,54.36,delivered
dcb36b511fcac050b97cd5c05de84dc3,3b6828a50ffe546942b7a473d70ac0fc,ccafc1c3f270410521c3c6f3b249870f,GO,2018-06-07 19:03:12,2018-06-21 15:34:32,146.45,delivered
403b97836b0c04a622354cf531062e5f,738b086814c6fcc74b8cc583f8516ee3,6e26bbeaa107ec34112c64e1ee31c0f5,RJ,2018-01-02 19:00:43,2018-01-20 01:38:59,1376.45,delivered
116f0b09343b49556bbad5f35bee0cdf,3187789bec990987628d7a9beb4dd6ac,6087cfc70fd833cf2db637a5e6e9d76b,SC,2017-12-26 23:41:31,2018-01-08 22:36:36,43.09,delivered
85ce859fd6dc634de8d2f1e290444043,059f7fc5719c7da6cbafe370971a8d70,d0ff1a7468fcc46b8fc658ab35d2a12c,SP,2017-11-21 00:03:41,2017-11-27 18:28:00,29.75,delivered
83018ec114eee8641c97e08f7b4e926f,7f8c8b9c2ae27bf3300f670c3d478be8,634f09f6075fe9032e6c19609ffe995a,BA,2017-10-26 15:54:26,2017-11-08 22:22:00,92.97,delivered
